date,symbol,industry,sector,cmp,marketCap,priceToEarnings,priceToBook,priceToSales,priceToCashflow,enterpriseToEbitda,dividendYield,returnOnEquity,return12M,return6M,return3M,return1M
2023-06-01,GILLETTE,Household & Personal Products,Consumer Defensive,4427.55,,,,,,,,,-9.54,-14.43,-5.9,-1.04
2023-06-01,RATNAMANI,Steel,Basic Materials,2299.65,16119,31.58,6.19,3.6,51.92,20.25,0.41,19.6,31.95,16.55,5.16,6.35
2023-06-01,ELGIEQUIP,Specialty Industrial Machinery,Industrials,540.65,17105,46.17,12.47,5.63,103.1,28.88,0.21,27.04,43.41,10.6,15.5,17.97
2023-06-01,ISEC,Capital Markets,Financial Services,489.95,15819,14.19,5.55,4.75,-23.46,11.82,4.59,39.18,11.18,-8.65,3.22,8.29
2023-06-01,CGCL,Credit Services,Financial Services,707.15,58313,278.41,16.35,43.23,-19.39,196.25,0.01,5.74,12.78,-0.52,4.12,9.53
2023-06-01,GODREJIND,Conglomerates,Industrials,481.25,16201,16.62,2.03,0.97,-3.67,13.81,0.41,12.21,1.48,5.17,14.42,6.34
2023-06-01,CLEAN,Specialty Chemicals,Basic Materials,1411.5,14996,50.81,14.85,16.02,53.68,29.25,0.37,37.19,-22.22,-6.5,0.77,-3.91
2023-06-01,MAZDOCK,Aerospace & Defense,Industrials,815.35,16445,14.7,3.45,2.1,10.85,9.36,1.32,23.51,187.35,-10.79,11.42,4.28
2023-06-01,MAHINDCIE,,,,,,,,,,,,,,,
2023-06-01,AEGISCHEM,Oil & Gas Refining & Marketing,Energy,342.35,12017,25.96,3.4,1.39,33.53,16.16,1.79,13.11,60.54,3.57,-7.08,-13.13
2023-06-01,FACT,Agricultural Inputs,Basic Materials,302.05,19545,31.9,15.34,3.15,30.65,23.96,0,48.11,135.7,106.53,26.35,-13.81
2023-06-01,BLUESTARCO,Building Products & Equipment,Industrials,722,13908,34.71,10.45,1.74,57.18,20.62,0.69,30.1,41.15,17.34,0.3,-1.43
2023-06-01,SANOFI,Drug Manufacturers - General,Healthcare,6839.1,,,,,,,,,-1.32,19.09,19.44,26.02
2023-06-01,FINEORG,Specialty Chemicals,Basic Materials,4505.25,13814,22.35,8.96,4.57,28.46,14.92,0.2,40.1,-12.12,-26.21,-0.01,0.44
2023-06-01,AFFLE,Advertising Agencies,Communication Services,958.85,12777,52.24,8.72,8.91,49.08,37.22,0,16.69,-8.39,-22.26,-5.36,2.55
