date,symbol,industry,sector,cmp,marketCap,priceToEarnings,priceToBook,priceToSales,priceToCashflow,enterpriseToEbitda,dividendYield,returnOnEquity,debtToEquity,returnOnCapitalEmployed,priceToEarningsGrowth,return12M,return6M,return3M,return1M
2024-06-28,KINGFA,Specialty Chemicals,Basic Materials,2117.85,2565,20.93,4.36,1.72,159.28,13.78,0,20.82,0.06,48.02,0.41,6.07,-10.89,8.35,11.33
2024-06-28,FINOPB,Banks - Regional,Financial Services,293.55,2443,28.33,3.8,1.75,43.02,9.56,0,13.41,1.11,2.6,0.87,9.74,12.49,3.25,6.47
2024-06-28,UNIPARTS,Farm & Heavy Construction Machinery,Industrials,522.95,2341,18.93,2.7,2.05,11.72,11.5,3.86,14.37,0.12,16.96,-0.48,-4.91,-9.52,-0.18,2.93
2024-06-28,INDOSTAR,Credit Services,Financial Services,248.23,3378,29.16,1.04,2.8,-1.53,63.46,0,3.58,2.34,0.25,-0.6,60.25,48.02,30.41,11.24
2024-06-28,DIVGIITTS,Auto Parts,Consumer Cyclical,664.55,2033,51.16,3.5,8.02,62.61,27.57,0.5,6.85,0,5.86,-1.73,-27.04,-32.24,-13.68,-10.17
2024-06-28,HINDOILEXP,Oil & Gas E&P,Energy,195.97,2592,11.45,2.21,3.46,21.13,8.16,0,19.28,0.15,15.05,0.69,-4.85,7.59,10.28,-0.24
2024-06-28,SEPC,Engineering & Construction,Industrials,18.84,2657,110.82,2.19,4.73,-21.98,42.66,0,1.88,0.38,1.31,-0.21,105.68,-7.19,13.15,3.52
2024-06-28,INDIAGLYCO,Chemicals,Basic Materials,885.1,2741,15.84,1.34,0.83,6.25,9.13,0.84,8.43,0.66,9.3,0.7,45.8,15.25,16.91,15.24
2024-06-28,IPL,Agricultural Inputs,Basic Materials,232.66,2680,44.4,3.25,3.94,23.5,26.48,0.32,7.29,0.03,8.41,-0.77,5.54,-36.1,14.5,6.26
2024-06-28,GENESYS,Software - Application,Technology,592.6,2344,103.24,4.79,11.82,122.89,27.66,0,4.51,0.12,6.86,12.14,85.56,44.54,0.19,12.61
2024-06-28,SANGHIIND,Building Materials,Basic Materials,99.04,2559,-5.7,2.3,3.12,-10.51,-76.56,0,-40.4,1.88,-5.97,-0.16,36.51,-21.95,9.62,8
2024-06-28,BSHSL,Agricultural Inputs,Basic Materials,191.81,2013,90.6,25.71,7.84,174.38,70,0,28.38,0.61,34.09,2.88,-32.47,-28.32,-13.75,-5.28
2024-06-28,SATIN,Credit Services,Financial Services,220.46,2425,5.56,1.01,1.25,-1.17,16.37,0,18.16,3.3,4.25,0,29.04,-8.22,4.91,0.1
